Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",0,4.16,William Morrow Paperbacks,Paperback,370,2003,1996,,2022/08/20,to-read,to-read (#163),to-read,,,,0,0
30165203,American Gods,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.10,William Morrow,Kindle Edition,635,2011,2001,,2022/08/20,to-read,to-read (#162),to-read,,,,0,0
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",0,4.02,William Morrow Books,Hardcover,181,2013,2013,,2022/08/20,,,read,,,,1,0
43363624,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0008159262""","=""9780008159269""",5,4.47,William Collins,Paperback,511,2019,2018,2022/08/18,2022/04/06,,,read,,,,1,0
59149034,How to Raise an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""059324253X""","=""9780593242537""",0,4.41,One World,Hardcover,288,2022,2022,,2022/08/15,to-read,to-read (#161),to-read,,,,0,0
54998251,"Four Hundred Souls: A Community History of African America, 1619-2019",Ibram X. Kendi,"Kendi, Ibram X.",Keisha N. Blain,"=""0593134044""","=""9780593134047""",0,4.56,One World,Hardcover,504,2021,2021,,2022/08/15,to-read,to-read (#160),to-read,,,,0,0
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""0525509283""","=""9780525509288""",0,4.37,One World,Hardcover,305,2019,2019,,2022/08/15,to-read,to-read (#159),to-read,,,,0,0
25898216,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,"Kendi, Ibram X.",,"=""1568584636""","=""9781568584638""",0,4.53,Bold Type Books,Hardcover,592,2016,2016,,2022/08/15,to-read,to-read (#158),to-read,,,,0,0
54626223,"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,"Whitehead, Colson",,"=""0385545134""","=""9780385545136""",0,3.73,Doubleday,Hardcover,318,2021,2021,,2022/08/15,to-read,to-read (#157),to-read,,,,0,0
2279,Truman,David McCullough,"McCullough, David",,"=""0671869205""","=""9780671869205""",0,4.17,Simon  Schuster,Paperback,1120,1993,1992,,2022/08/15,to-read,to-read (#156),to-read,,,,0,0
